miRNA	n	DSW
hsa-mir-16	117	0.137647058824
hsa-mir-19	14	0.0164705882353
hsa-mir-18	44	0.0517647058824
hsa-mir-521-2	1	0.00117647058824
hsa-mir-374	1	0.00117647058824
hsa-mir-3163	1	0.00117647058824
hsa-mir-605	7	0.00823529411765
hsa-mir-376a	16	0.0188235294118
hsa-mir-376b	4	0.00470588235294
hsa-mir-541	2	0.00235294117647
hsa-mir-601	9	0.0105882352941
hsa-mir-526a-2	4	0.00470588235294
hsa-mir-526a-1	4	0.00470588235294
hsa-mir-602	5	0.00588235294118
hsa-mir-608	17	0.02
hsa-mir-4505	2	0.00235294117647
hsa-mir-1304	1	0.00117647058824
hsa-mir-544	1	0.00117647058824
hsa-mir-3175	3	0.00352941176471
hsa-mir-1282	1	0.00117647058824
hsa-mir-6126	2	0.00235294117647
hsa-mir-663a	18	0.0211764705882
hsa-mir-4501	1	0.00117647058824
hsa-mir-1207	11	0.0129411764706
hsa-mir-1206	1	0.00117647058824
hsa-mir-1201	1	0.00117647058824
hsa-mir-1203	2	0.00235294117647
hsa-mir-1202	5	0.00588235294118
hsa-mir-1305	1	0.00117647058824
hsa-mir-5010	1	0.00117647058824
hsa-mir-190b	5	0.00588235294118
hsa-mir-549	3	0.00352941176471
hsa-mir-378d-2	4	0.00470588235294
hsa-mir-378d-1	4	0.00470588235294
hsa-mir-4496	2	0.00235294117647
hsa-mir-1285-2	1	0.00117647058824
hsa-mir-519	3	0.00352941176471
hsa-mir-518	4	0.00470588235294
hsa-mir-511	11	0.0129411764706
hsa-mir-510	8	0.00941176470588
hsa-mir-513	2	0.00235294117647
hsa-mir-512	10	0.0117647058824
hsa-mir-515	2	0.00235294117647
hsa-mir-514	1	0.00117647058824
hsa-mir-517	2	0.00235294117647
hsa-mir-516	2	0.00235294117647
hsa-mir-16-2	48	0.0564705882353
hsa-mir-690	2	0.00235294117647
hsa-mir-16-1	56	0.0658823529412
hsa-mir-696	1	0.00117647058824
hsa-mir-3201	2	0.00235294117647
hsa-mir-694	1	0.00117647058824
hsa-mir-192-2	1	0.00117647058824
hsa-mir-5193	1	0.00117647058824
hsa-mir-4661	1	0.00117647058824
hsa-mir-5586	1	0.00117647058824
hsa-mir-1302-3	2	0.00235294117647
hsa-mir-5582	1	0.00117647058824
hsa-mir-34a	166	0.195294117647
hsa-mir-34b	71	0.0835294117647
hsa-mir-34c	81	0.0952941176471
hsa-mir-216a	16	0.0188235294118
hsa-mir-216b	17	0.02
