miRNA	n	DSW
hsa-mir-1301	3	0.00352941176471
hsa-mir-432	13	0.0152941176471
hsa-mir-629	21	0.0247058823529
hsa-mir-593	3	0.00352941176471
hsa-mir-431	13	0.0152941176471
hsa-mir-1233-2	1	0.00117647058824
hsa-mir-1291	7	0.00823529411765
hsa-mir-597	3	0.00352941176471
hsa-mir-3916	1	0.00117647058824
hsa-mir-596	4	0.00470588235294
hsa-mir-513a-2	7	0.00823529411765
hsa-mir-539	11	0.0129411764706
hsa-mir-599	2	0.00235294117647
hsa-mir-598	5	0.00588235294118
hsa-mir-196a	51	0.06
hsa-mir-196b	39	0.0458823529412
hsa-mir-3560	1	0.00117647058824
hsa-mir-611	2	0.00235294117647
hsa-mir-196a-1	26	0.0305882352941
hsa-mir-196a-2	44	0.0517647058824
hsa-mir-4268	1	0.00117647058824
hsa-mir-28	26	0.0305882352941
hsa-mir-4534	1	0.00117647058824
hsa-mir-43c	1	0.00117647058824
hsa-mir-658	2	0.00235294117647
hsa-mir-617	1	0.00117647058824
hsa-mir-9-1	34	0.04
hsa-mir-9-3	29	0.0341176470588
hsa-mir-9-2	29	0.0341176470588
hsa-mir-3177	1	0.00117647058824
hsa-mir-1264	2	0.00235294117647
hsa-mir-7-3	27	0.0317647058824
hsa-mir-99a	55	0.0647058823529
hsa-mir-7-1	30	0.0352941176471
hsa-mir-615	7	0.00823529411765
hsa-mir-322	2	0.00235294117647
hsa-mir-323	11	0.0129411764706
hsa-mir-320	25	0.0294117647059
hsa-mir-448	9	0.0105882352941
hsa-mir-326	24	0.0282352941176
hsa-mir-4298	1	0.00117647058824
hsa-mir-324	21	0.0247058823529
hsa-mir-325	6	0.00705882352941
hsa-mir-4295	1	0.00117647058824
hsa-mir-6068	1	0.00117647058824
hsa-mir-328	33	0.0388235294118
hsa-mir-99b	33	0.0388235294118
hsa-mir-4291	1	0.00117647058824
hsa-mir-4290	1	0.00117647058824
hsa-mir-4293	2	0.00235294117647
hsa-mir-6069	1	0.00117647058824
hsa-mir-181-2	1	0.00117647058824
hsa-mir-4687	1	0.00117647058824
hsa-mir-886	13	0.0152941176471
hsa-mir-885	18	0.0211764705882
hsa-mir-3941	1	0.00117647058824
hsa-mir-889	1	0.00117647058824
hsa-mir-888	4	0.00470588235294
hsa-mir-548a-3	1	0.00117647058824
hsa-mir-548a-2	1	0.00117647058824
hsa-mir-548a-1	1	0.00117647058824
hsa-mir-641	2	0.00235294117647
hsa-mir-3666	1	0.00117647058824
hsa-mir-3663	3	0.00352941176471
hsa-mir-4469	2	0.00235294117647
hsa-mir-4466	1	0.00117647058824
hsa-mir-4467	1	0.00117647058824
hsa-mir-365-1	1	0.00117647058824
hsa-mir-103b-1	7	0.00823529411765
hsa-mir-643	1	0.00117647058824
hsa-mir-4306	3	0.00352941176471
hsa-mir-103b-2	7	0.00823529411765
hsa-mir-146	22	0.0258823529412
hsa-mir-147	7	0.00823529411765
hsa-mir-144	62	0.0729411764706
hsa-mir-145	150	0.176470588235
hsa-mir-142	95	0.111764705882
hsa-mir-143	118	0.138823529412
hsa-mir-140	47	0.0552941176471
hsa-mir-141	73	0.0858823529412
hsa-mir-528a	1	0.00117647058824
hsa-mir-224	56	0.0658823529412
hsa-mir-223	148	0.174117647059
hsa-mir-222	112	0.131764705882
hsa-mir-221	134	0.157647058824
hsa-mir-149	56	0.0658823529412
hsa-mir-103a	13	0.0152941176471
hsa-mir-1469	1	0.00117647058824
hsa-mir-1468	1	0.00117647058824
hsa-mir-4500	1	0.00117647058824
hsa-mir-126a	3	0.00352941176471
hsa-mir-646	7	0.00823529411765
hsa-mir-374b	13	0.0152941176471
hsa-mir-374a	18	0.0211764705882
hsa-mir-712	1	0.00117647058824
hsa-mir-762	1	0.00117647058824
hsa-mir-1-1	46	0.0541176470588
hsa-mir-1-2	42	0.0494117647059
hsa-mir-619	1	0.00117647058824
hsa-mir-586	3	0.00352941176471
hsa-mir-3185	1	0.00117647058824
hsa-mir-584	13	0.0152941176471
hsa-mir-585	2	0.00235294117647
hsa-mir-582	11	0.0129411764706
hsa-mir-583	2	0.00235294117647
hsa-mir-3182	1	0.00117647058824
hsa-mir-668	2	0.00235294117647
hsa-mir-1260a	2	0.00235294117647
hsa-mir-665	6	0.00705882352941
hsa-mir-664	8	0.00941176470588
hsa-mir-663	19	0.0223529411765
hsa-mir-662	3	0.00352941176471
hsa-mir-661	6	0.00705882352941
hsa-mir-660	8	0.00941176470588
hsa-mir-450b	3	0.00352941176471
hsa-mir-220a	1	0.00117647058824
hsa-mir-744	14	0.0164705882353
hsa-mir-764	1	0.00117647058824
hsa-mir-3065	1	0.00117647058824
hsa-mir-2682	1	0.00117647058824
hsa-mir-466	3	0.00352941176471
hsa-mir-133	25	0.0294117647059
hsa-mir-132	80	0.0941176470588
hsa-mir-450a-2	2	0.00235294117647
hsa-mir-130	8	0.00941176470588
hsa-mir-137	42	0.0494117647059
hsa-mir-136	18	0.0211764705882
hsa-mir-135	5	0.00588235294118
hsa-mir-134	36	0.0423529411765
hsa-mir-365-2	2	0.00235294117647
hsa-mir-139	43	0.0505882352941
hsa-mir-138	63	0.0741176470588
hsa-mir-196a2	9	0.0105882352941
hsa-mir-6886	1	0.00117647058824
hsa-mir-450	2	0.00235294117647
hsa-mir-1269	1	0.00117647058824
hsa-mir-1268	1	0.00117647058824
hsa-mir-1204	1	0.00117647058824
hsa-mir-6880	1	0.00117647058824
hsa-mir-1976	2	0.00235294117647
hsa-mir-1261	1	0.00117647058824
hsa-mir-4666a	1	0.00117647058824
hsa-mir-146a	202	0.237647058824
hsa-mir-1266	4	0.00470588235294
hsa-mir-1265	1	0.00117647058824
hsa-mir-146b	89	0.104705882353
hsa-mir-9501	1	0.00117647058824
hsa-mir-644b	1	0.00117647058824
hsa-mir-644a	1	0.00117647058824
hsa-mir-1973	5	0.00588235294118
hsa-mir-1972	2	0.00235294117647
hsa-mir-3117	1	0.00117647058824
hsa-mir-558	2	0.00235294117647
hsa-mir-376a-1	7	0.00823529411765
hsa-mir-518a-2	1	0.00117647058824
hsa-mir-6861	1	0.00117647058824
hsa-mir-518a-1	1	0.00117647058824
hsa-mir-365	18	0.0211764705882
hsa-mir-3649	1	0.00117647058824
hsa-mir-101-2	28	0.0329411764706
hsa-mir-101-1	29	0.0341176470588
hsa-mir-514b	1	0.00117647058824
hsa-mir-514a	1	0.00117647058824
hsa-mir-128-1	13	0.0152941176471
hsa-mir-128-2	16	0.0188235294118
hsa-mir-33	16	0.0188235294118
hsa-mir-32	25	0.0294117647059
hsa-mir-31	111	0.130588235294
hsa-mir-30	26	0.0305882352941
hsa-mir-19b-2	31	0.0364705882353
hsa-mir-449c	4	0.00470588235294
hsa-mir-19b-1	71	0.0835294117647
hsa-mir-181d	19	0.0223529411765
hsa-mir-568	1	0.00117647058824
hsa-mir-4301	1	0.00117647058824
hsa-mir-4717	3	0.00352941176471
hsa-mir-181a	75	0.0882352941176
hsa-mir-181b	60	0.0705882352941
hsa-mir-181c	35	0.0411764705882
hsa-mir-612	6	0.00705882352941
hsa-mir-369	6	0.00705882352941
hsa-mir-103b	1	0.00117647058824
hsa-mir-367	25	0.0294117647059
hsa-mir-513a-1	7	0.00823529411765
hsa-mir-362	18	0.0211764705882
hsa-mir-363	26	0.0305882352941
hsa-mir-361	17	0.02
hsa-mir-1302-7	2	0.00235294117647
hsa-mir-1302-6	2	0.00235294117647
hsa-mir-1302-5	2	0.00235294117647
hsa-mir-1302-4	2	0.00235294117647
hsa-mir-24-1	32	0.0376470588235
hsa-mir-1302-2	2	0.00235294117647
hsa-mir-1302-1	2	0.00235294117647
hsa-mir-24-2	24	0.0282352941176
hsa-mir-561	4	0.00470588235294
hsa-mir-544a	4	0.00470588235294
hsa-mir-112	1	0.00117647058824
hsa-mir-564	3	0.00352941176471
hsa-mir-565	1	0.00117647058824
hsa-mir-409	17	0.02
hsa-mir-567	2	0.00235294117647
hsa-mir-642	1	0.00117647058824
hsa-mir-569	2	0.00235294117647
hsa-mir-4764	1	0.00117647058824
hsa-mir-544b	2	0.00235294117647
hsa-let-7a-2	42	0.0494117647059
hsa-let-7a-3	43	0.0505882352941
hsa-let-7a-1	44	0.0517647058824
hsa-mir-3610	1	0.00117647058824
hsa-mir-4664	1	0.00117647058824
hsa-mir-103a-2	21	0.0247058823529
hsa-mir-103a-1	19	0.0223529411765
hsa-mir-1273a	1	0.00117647058824
hsa-mir-1273c	1	0.00117647058824
hsa-mir-1273d	1	0.00117647058824
hsa-mir-1273g	3	0.00352941176471
hsa-mir-371a	12	0.0141176470588
hsa-mir-566	3	0.00352941176471
hsa-mir-371b	2	0.00235294117647
hsa-mir-4787	1	0.00117647058824
hsa-mir-1302-8	2	0.00235294117647
hsa-mir-365a	13	0.0152941176471
hsa-mir-365b	9	0.0105882352941
hsa-mir-378b	5	0.00588235294118
hsa-mir-378c	4	0.00470588235294
hsa-mir-378a	25	0.0294117647059
hsa-mir-378f	4	0.00470588235294
hsa-mir-378g	5	0.00588235294118
hsa-mir-378e	4	0.00470588235294
hsa-mir-128b	5	0.00588235294118
hsa-mir-1915	5	0.00588235294118
hsa-mir-378h	4	0.00470588235294
hsa-mir-378i	5	0.00588235294118
hsa-mir-433	16	0.0188235294118
hsa-mir-27a	89	0.104705882353
hsa-mir-27b	69	0.0811764705882
hsa-mir-770	3	0.00352941176471
hsa-mir-7107	1	0.00117647058824
hsa-mir-6780b	1	0.00117647058824
hsa-mir-7109	1	0.00117647058824
hsa-mir-151a	26	0.0305882352941
hsa-mir-151b	7	0.00823529411765
hsa-mir-708	31	0.0364705882353
hsa-mir-709	3	0.00352941176471
hsa-mir-3654	1	0.00117647058824
hsa-mir-705	1	0.00117647058824
hsa-mir-3656	1	0.00117647058824
hsa-mir-3651	2	0.00235294117647
hsa-mir-3653	1	0.00117647058824
hsa-mir-323b	4	0.00470588235294
hsa-mir-6826	2	0.00235294117647
hsa-mir-323a	8	0.00941176470588
hsa-mir-768	2	0.00235294117647
hsa-mir-1248	3	0.00352941176471
hsa-mir-208b	18	0.0211764705882
hsa-mir-133a-2	36	0.0423529411765
hsa-mir-4530	1	0.00117647058824
hsa-mir-4532	2	0.00235294117647
hsa-mir-532	14	0.0164705882353
hsa-mir-8084	1	0.00117647058824
hsa-mir-203a	8	0.00941176470588
hsa-mir-1283	2	0.00235294117647
hsa-mir-9a	1	0.00117647058824
hsa-mir-769	5	0.00588235294118
hsa-mir-3162	3	0.00352941176471
hsa-mir-3620	1	0.00117647058824
hsa-mir-1538	1	0.00117647058824
hsa-mir-508	10	0.0117647058824
hsa-mir-892a	3	0.00352941176471
hsa-let-7f-1	30	0.0352941176471
hsa-mir-519a-2	3	0.00352941176471
hsa-mir-630	20	0.0235294117647
hsa-mir-631	2	0.00235294117647
hsa-mir-1287	3	0.00352941176471
hsa-mir-1286	2	0.00235294117647
hsa-mir-634	6	0.00705882352941
hsa-mir-3156	1	0.00117647058824
hsa-mir-636	6	0.00705882352941
hsa-mir-637	7	0.00823529411765
hsa-mir-638	22	0.0258823529412
hsa-mir-639	6	0.00705882352941
hsa-mir-3158	1	0.00117647058824
hsa-mir-124-1	31	0.0364705882353
hsa-mir-129-1	13	0.0152941176471
hsa-mir-181a-2	40	0.0470588235294
hsa-mir-124-2	28	0.0329411764706
hsa-let-7b	83	0.0976470588235
hsa-let-7c	61	0.0717647058824
hsa-mir-626	1	0.00117647058824
hsa-let-7a	83	0.0976470588235
hsa-let-7f	32	0.0376470588235
hsa-let-7g	56	0.0658823529412
hsa-mir-181b-1	32	0.0376470588235
hsa-mir-518e	6	0.00705882352941
hsa-mir-941-4	1	0.00117647058824
hsa-let-7i	55	0.0647058823529
hsa-mir-941-3	1	0.00117647058824
hsa-mir-103-2	1	0.00117647058824
hsa-mir-941-1	1	0.00117647058824
hsa-mir-548f	1	0.00117647058824
hsa-mir-6133	1	0.00117647058824
hsa-mir-5009	1	0.00117647058824
hsa-mir-23	3	0.00352941176471
hsa-mir-1184-1	1	0.00117647058824
hsa-mir-548d	3	0.00352941176471
hsa-mir-128a	12	0.0141176470588
hsa-mir-499a	25	0.0294117647059
hsa-mir-301b	10	0.0117647058824
hsa-mir-490	19	0.0223529411765
hsa-mir-301a	28	0.0329411764706
hsa-mir-548b	4	0.00470588235294
hsa-mir-199a	64	0.0752941176471
hsa-mir-516a-1	5	0.00588235294118
hsa-mir-516a-2	5	0.00588235294118
hsa-mir-199b	42	0.0494117647059
hsa-mir-548a	2	0.00235294117647
hsa-mir-516b-2	4	0.00470588235294
hsa-mir-93	74	0.0870588235294
hsa-mir-92	13	0.0152941176471
hsa-mir-95	19	0.0223529411765
hsa-mir-96	67	0.0788235294118
hsa-mir-524	7	0.00823529411765
hsa-mir-525	10	0.0117647058824
hsa-mir-527	3	0.00352941176471
hsa-mir-521	1	0.00117647058824
hsa-mir-522	6	0.00705882352941
hsa-mir-523	4	0.00470588235294
hsa-mir-1182	2	0.00235294117647
hsa-mir-135b	41	0.0482352941176
hsa-mir-135a	29	0.0341176470588
hsa-mir-487b	12	0.0141176470588
hsa-mir-3130-1	1	0.00117647058824
hsa-mir-5189	1	0.00117647058824
hsa-mir-1274a	5	0.00588235294118
hsa-mir-1274b	2	0.00235294117647
hsa-mir-4271	1	0.00117647058824
hsa-mir-4270	1	0.00117647058824
hsa-mir-4274	1	0.00117647058824
hsa-mir-4279	2	0.00235294117647
hsa-mir-467d	1	0.00117647058824
hsa-mir-23a	81	0.0952941176471
hsa-mir-23b	64	0.0752941176471
hsa-mir-23c	2	0.00235294117647
hsa-mir-148b	25	0.0294117647059
hsa-mir-148a	72	0.0847058823529
hsa-mir-6799	1	0.00117647058824
hsa-mir-491	30	0.0352941176471
hsa-mir-355	1	0.00117647058824
hsa-mir-4784	1	0.00117647058824
hsa-mir-352	1	0.00117647058824
hsa-mir-3976	1	0.00117647058824
hsa-mir-3945	1	0.00117647058824
hsa-mir-451	55	0.0647058823529
hsa-mir-452	24	0.0282352941176
hsa-mir-453	1	0.00117647058824
hsa-mir-454	17	0.02
hsa-mir-455	22	0.0258823529412
hsa-mir-3138	2	0.00235294117647
hsa-mir-4758	1	0.00117647058824
hsa-mir-191a	1	0.00117647058824
hsa-mir-513a	1	0.00117647058824
hsa-mir-4697	2	0.00235294117647
hsa-mir-521-1	1	0.00117647058824
hsa-mir-7847	1	0.00117647058824
hsa-mir-4753	1	0.00117647058824
hsa-mir-492	7	0.00823529411765
hsa-mir-4721	1	0.00117647058824
hsa-mir-25	64	0.0752941176471
hsa-mir-4478	2	0.00235294117647
hsa-mir-3613	7	0.00823529411765
hsa-mir-3614	1	0.00117647058824
hsa-mir-3619	3	0.00352941176471
hsa-mir-219-2	3	0.00352941176471
hsa-mir-5692b	1	0.00117647058824
hsa-mir-2861	6	0.00705882352941
hsa-mir-4476	1	0.00117647058824
hsa-mir-1268a	2	0.00235294117647
hsa-mir-1268b	1	0.00117647058824
hsa-mir-1974	1	0.00117647058824
hsa-mir-199a-1	36	0.0423529411765
hsa-mir-4795	1	0.00117647058824
hsa-mir-199a-2	36	0.0423529411765
hsa-mir-3588	1	0.00117647058824
hsa-mir-4672	1	0.00117647058824
hsa-mir-145a	1	0.00117647058824
hsa-mir-487a	2	0.00235294117647
hsa-mir-743a	1	0.00117647058824
hsa-mir-92-1	42	0.0494117647059
hsa-mir-3908	1	0.00117647058824
hsa-mir-7152	1	0.00117647058824
hsa-mir-376c	16	0.0188235294118
hsa-mir-3007a	1	0.00117647058824
hsa-mir-6315	1	0.00117647058824
hsa-mir-27	7	0.00823529411765
hsa-mir-3909	1	0.00117647058824
hsa-mir-6836	2	0.00235294117647
